,allow_self_parent,attractor_state_percentage,dataset_filepath,dataset_id,graph_filepath,graph_id,n_nodes,n_trajectories,network_seed,sampling_frequency,sync,trajectory_len,trajectory_seed
99,False,0.8571428571428571,example_datasets/datasets/D99.txt,99,example_datasets/graphs/G6.txt,6,8,5,1,3,True,20,0
100,False,0.9762376237623762,example_datasets/datasets/D100.txt,100,example_datasets/graphs/G6.txt,6,8,5,1,1,True,100,0
101,False,0.9705882352941176,example_datasets/datasets/D101.txt,101,example_datasets/graphs/G6.txt,6,8,5,1,3,True,100,0
102,False,0.5916666666666667,example_datasets/datasets/D102.txt,102,example_datasets/graphs/G6.txt,6,8,20,1,1,True,5,0
103,False,0.5,example_datasets/datasets/D103.txt,103,example_datasets/graphs/G6.txt,6,8,20,1,3,True,5,0
104,False,0.8904761904761904,example_datasets/datasets/D104.txt,104,example_datasets/graphs/G6.txt,6,8,20,1,1,True,20,0
105,False,0.8571428571428571,example_datasets/datasets/D105.txt,105,example_datasets/graphs/G6.txt,6,8,20,1,3,True,20,0
106,False,0.9772277227722772,example_datasets/datasets/D106.txt,106,example_datasets/graphs/G6.txt,6,8,20,1,1,True,100,0
107,False,0.9705882352941176,example_datasets/datasets/D107.txt,107,example_datasets/graphs/G6.txt,6,8,20,1,3,True,100,0
108,False,0.0,example_datasets/datasets/D108.txt,108,example_datasets/graphs/G7.txt,7,8,1,0,1,False,5,0
109,False,0.0,example_datasets/datasets/D109.txt,109,example_datasets/graphs/G7.txt,7,8,1,0,3,False,5,0
110,False,0.2857142857142857,example_datasets/datasets/D110.txt,110,example_datasets/graphs/G7.txt,7,8,1,0,1,False,20,0
111,False,0.2857142857142857,example_datasets/datasets/D111.txt,111,example_datasets/graphs/G7.txt,7,8,1,0,3,False,20,0
112,False,0.8514851485148515,example_datasets/datasets/D112.txt,112,example_datasets/graphs/G7.txt,7,8,1,0,1,False,100,0
113,False,0.8529411764705882,example_datasets/datasets/D113.txt,113,example_datasets/graphs/G7.txt,7,8,1,0,3,False,100,0
114,False,0.0,example_datasets/datasets/D114.txt,114,example_datasets/graphs/G7.txt,7,8,5,0,1,False,5,0
115,False,0.0,example_datasets/datasets/D115.txt,115,example_datasets/graphs/G7.txt,7,8,5,0,3,False,5,0
116,False,0.5619047619047619,example_datasets/datasets/D116.txt,116,example_datasets/graphs/G7.txt,7,8,5,0,1,False,20,0
117,False,0.5142857142857142,example_datasets/datasets/D117.txt,117,example_datasets/graphs/G7.txt,7,8,5,0,3,False,20,0
118,False,0.899009900990099,example_datasets/datasets/D118.txt,118,example_datasets/graphs/G7.txt,7,8,5,0,1,False,100,0
119,False,0.8941176470588236,example_datasets/datasets/D119.txt,119,example_datasets/graphs/G7.txt,7,8,5,0,3,False,100,0
120,False,0.14166666666666666,example_datasets/datasets/D120.txt,120,example_datasets/graphs/G7.txt,7,8,20,0,1,False,5,0
121,False,0.075,example_datasets/datasets/D121.txt,121,example_datasets/graphs/G7.txt,7,8,20,0,3,False,5,0
122,False,0.5642857142857143,example_datasets/datasets/D122.txt,122,example_datasets/graphs/G7.txt,7,8,20,0,1,False,20,0
123,False,0.5142857142857142,example_datasets/datasets/D123.txt,123,example_datasets/graphs/G7.txt,7,8,20,0,3,False,20,0
124,False,0.8995049504950495,example_datasets/datasets/D124.txt,124,example_datasets/graphs/G7.txt,7,8,20,0,1,False,100,0
125,False,0.8926470588235295,example_datasets/datasets/D125.txt,125,example_datasets/graphs/G7.txt,7,8,20,0,3,False,100,0
126,False,0.0,example_datasets/datasets/D126.txt,126,example_datasets/graphs/G8.txt,8,8,1,1,1,False,5,0
127,False,0.0,example_datasets/datasets/D127.txt,127,example_datasets/graphs/G8.txt,8,8,1,1,3,False,5,0
128,False,0.42857142857142855,example_datasets/datasets/D128.txt,128,example_datasets/graphs/G8.txt,8,8,1,1,1,False,20,0
129,False,0.42857142857142855,example_datasets/datasets/D129.txt,129,example_datasets/graphs/G8.txt,8,8,1,1,3,False,20,0
130,False,0.8811881188118812,example_datasets/datasets/D130.txt,130,example_datasets/graphs/G8.txt,8,8,1,1,1,False,100,0
131,False,0.8823529411764706,example_datasets/datasets/D131.txt,131,example_datasets/graphs/G8.txt,8,8,1,1,3,False,100,0
132,False,0.13333333333333333,example_datasets/datasets/D132.txt,132,example_datasets/graphs/G8.txt,8,8,5,1,1,False,5,0
133,False,0.1,example_datasets/datasets/D133.txt,133,example_datasets/graphs/G8.txt,8,8,5,1,3,False,5,0
134,False,0.6190476190476191,example_datasets/datasets/D134.txt,134,example_datasets/graphs/G8.txt,8,8,5,1,1,False,20,0
135,False,0.5714285714285714,example_datasets/datasets/D135.txt,135,example_datasets/graphs/G8.txt,8,8,5,1,3,False,20,0
136,False,0.9267326732673268,example_datasets/datasets/D136.txt,136,example_datasets/graphs/G8.txt,8,8,5,1,1,False,100,0
137,False,0.9176470588235294,example_datasets/datasets/D137.txt,137,example_datasets/graphs/G8.txt,8,8,5,1,3,False,100,0
